VACCINATION_DATE,County,FirstDoseDaily,FirstDoseCumulative,SecondDoseDaily,SecondDoseCumulative,SingleDoseDaily,SingleDoseCumulative,AtLeastOneDose,AtLeastOneDoseCumulative,FullyVaccinated,FullyVaccinatedCumulative
12/14/2020 10:00:00 AM,Anne Arundel,2,2,,0,,0,,2,,0
12/14/2020 10:00:00 AM,Baltimore,1,1,,0,,0,,1,,0
12/14/2020 10:00:00 AM,Carroll,1,1,,0,,0,,1,,0
12/14/2020 10:00:00 AM,Frederick,1,1,1,1,,0,,1,,1
12/14/2020 10:00:00 AM,Howard,3,3,,0,,0,,3,,0
12/14/2020 10:00:00 AM,Montgomery,9,9,,0,,0,,9,,0
12/14/2020 10:00:00 AM,OOS,1,1,,0,,0,,1,,0
12/14/2020 10:00:00 AM,Prince Georges,2,2,,0,,0,,2,,0
12/14/2020 10:00:00 AM,Wicomico,1,1,,0,,0,,1,,0
12/15/2020 10:00:00 AM,Anne Arundel,4,6,,0,,0,,6,,0
12/15/2020 10:00:00 AM,Baltimore,7,8,2,2,,0,,8,,2
12/15/2020 10:00:00 AM,Baltimore City,7,7,,0,,0,,7,,0
12/15/2020 10:00:00 AM,Cecil,1,1,,0,,0,,1,,0
12/15/2020 10:00:00 AM,Dorchester,2,2,,0,,0,,2,,0
12/15/2020 10:00:00 AM,Frederick,5,6,,1,,0,,6,,1
12/15/2020 10:00:00 AM,Howard,6,9,,0,,0,,9,,0
12/15/2020 10:00:00 AM,Montgomery,20,29,,0,,0,,29,,0
12/15/2020 10:00:00 AM,OOS,9,10,,0,,0,,10,,0
12/15/2020 10:00:00 AM,Prince Georges,4,6,1,1,,0,,6,,1
12/15/2020 10:00:00 AM,Queen Annes,1,1,,0,,0,,1,,0
12/15/2020 10:00:00 AM,Washington,1,1,,0,,0,,1,,0
12/15/2020 10:00:00 AM,Worcester,4,4,,0,,0,,4,,0
12/16/2020 10:00:00 AM,Allegany,2,2,,0,,0,,2,,0
12/16/2020 10:00:00 AM,Anne Arundel,59,65,,0,,0,,65,,0
12/16/2020 10:00:00 AM,Baltimore,126,134,1,3,,0,,134,,3
12/16/2020 10:00:00 AM,Baltimore City,154,161,1,1,,0,,161,,1
12/16/2020 10:00:00 AM,Calvert,2,2,,0,,0,,2,,0
12/16/2020 10:00:00 AM,Caroline,1,1,1,1,,0,,1,,1
12/16/2020 10:00:00 AM,Carroll,7,8,,0,,0,,8,,0
12/16/2020 10:00:00 AM,Cecil,3,4,,0,,0,,4,,0
12/16/2020 10:00:00 AM,Charles,8,8,,0,,0,,8,,0
12/16/2020 10:00:00 AM,Dorchester,5,7,,0,,0,,7,,0
12/16/2020 10:00:00 AM,Frederick,4,10,,1,,0,,10,,1
12/16/2020 10:00:00 AM,Garrett,1,1,,0,,0,,1,,0
12/16/2020 10:00:00 AM,Harford,47,47,,0,,0,,47,,0
12/16/2020 10:00:00 AM,Howard,58,67,2,2,,0,,67,,2
12/16/2020 10:00:00 AM,Montgomery,107,136,2,2,,0,,136,,2
12/16/2020 10:00:00 AM,OOS,62,72,1,1,,0,,72,,1
12/16/2020 10:00:00 AM,Prince Georges,37,43,,1,,0,,43,,1
12/16/2020 10:00:00 AM,Queen Annes,5,6,,0,,0,,6,,0
12/16/2020 10:00:00 AM,St. Marys,3,3,,0,,0,,3,,0
12/16/2020 10:00:00 AM,Talbot,8,8,,0,,0,,8,,0
12/16/2020 10:00:00 AM,Washington,6,7,,0,,0,,7,,0
12/16/2020 10:00:00 AM,Wicomico,2,3,,0,,0,,3,,0
12/16/2020 10:00:00 AM,Worcester,2,6,,0,,0,,6,,0
12/17/2020 10:00:00 AM,Allegany,1,3,,0,,0,,3,,0
12/17/2020 10:00:00 AM,Anne Arundel,109,174,1,1,,0,,174,,1
12/17/2020 10:00:00 AM,Baltimore,203,337,1,4,,0,,337,,4
12/17/2020 10:00:00 AM,Baltimore City,226,387,,1,,0,,387,,1
12/17/2020 10:00:00 AM,Calvert,10,12,,0,,0,,12,,0
12/17/2020 10:00:00 AM,Caroline,10,11,,1,,0,,11,,1
12/17/2020 10:00:00 AM,Carroll,19,27,1,1,,0,,27,,1
12/17/2020 10:00:00 AM,Cecil,4,8,,0,,0,,8,,0
12/17/2020 10:00:00 AM,Charles,15,23,,0,,0,,23,,0
12/17/2020 10:00:00 AM,Dorchester,15,22,,0,,0,,22,,0
12/17/2020 10:00:00 AM,Frederick,34,44,,1,,0,,44,,1
12/17/2020 10:00:00 AM,Harford,63,110,1,1,,0,,110,,1
12/17/2020 10:00:00 AM,Howard,121,188,2,4,,0,,188,,4
12/17/2020 10:00:00 AM,Kent,6,6,,0,,0,,6,,0
12/17/2020 10:00:00 AM,Montgomery,152,288,1,3,,0,,288,,3
12/17/2020 10:00:00 AM,OOS,95,167,1,2,,0,,167,,2
12/17/2020 10:00:00 AM,Prince Georges,53,96,1,2,,0,,96,,2
12/17/2020 10:00:00 AM,Queen Annes,13,19,1,1,,0,,19,,1
12/17/2020 10:00:00 AM,Somerset,10,10,,0,,0,,10,,0
12/17/2020 10:00:00 AM,St. Marys,4,7,,0,,0,,7,,0
12/17/2020 10:00:00 AM,Talbot,13,21,,0,,0,,21,,0
12/17/2020 10:00:00 AM,Washington,7,14,,0,,0,,14,,0
12/17/2020 10:00:00 AM,Wicomico,84,87,1,1,,0,,87,,1
12/17/2020 10:00:00 AM,Worcester,29,35,,0,,0,,35,,0
12/18/2020 10:00:00 AM,Allegany,7,10,,0,,0,,10,,0
12/18/2020 10:00:00 AM,Anne Arundel,183,357,1,2,,0,,357,,2
12/18/2020 10:00:00 AM,Baltimore,449,786,2,6,,0,,786,,6
12/18/2020 10:00:00 AM,Baltimore City,360,747,,1,,0,,747,,1
12/18/2020 10:00:00 AM,Calvert,12,24,1,1,,0,,24,,1
12/18/2020 10:00:00 AM,Caroline,7,18,,1,,0,,18,,1
12/18/2020 10:00:00 AM,Carroll,77,104,1,2,,0,,104,,2
12/18/2020 10:00:00 AM,Cecil,27,35,,0,,0,,35,,0
12/18/2020 10:00:00 AM,Charles,29,52,,0,,0,,52,,0
12/18/2020 10:00:00 AM,Dorchester,12,34,,0,,0,,34,,0
12/18/2020 10:00:00 AM,Frederick,144,188,1,2,,0,,188,,2
12/18/2020 10:00:00 AM,Harford,129,239,,1,,0,,239,,1
12/18/2020 10:00:00 AM,Howard,251,439,,4,,0,,439,,4
12/18/2020 10:00:00 AM,Kent,1,7,,0,,0,,7,,0
12/18/2020 10:00:00 AM,Montgomery,395,683,2,5,,0,,683,,5
12/18/2020 10:00:00 AM,OOS,309,476,2,4,,0,,476,,4
12/18/2020 10:00:00 AM,Prince Georges,103,199,,2,,0,,199,,2
12/18/2020 10:00:00 AM,Queen Annes,19,38,,1,,0,,38,,1
12/18/2020 10:00:00 AM,Somerset,31,41,,0,,0,,41,,0
12/18/2020 10:00:00 AM,St. Marys,24,31,,0,,0,,31,,0
12/18/2020 10:00:00 AM,Talbot,16,37,,0,,0,,37,,0
12/18/2020 10:00:00 AM,Washington,74,88,,0,,0,,88,,0
12/18/2020 10:00:00 AM,Wicomico,339,426,1,2,,0,,426,,2
12/18/2020 10:00:00 AM,Worcester,158,193,3,3,,0,,193,,3
12/19/2020 10:00:00 AM,Allegany,1,11,,0,,0,,11,,0
12/19/2020 10:00:00 AM,Anne Arundel,43,400,,2,,0,,400,,2
12/19/2020 10:00:00 AM,Baltimore,138,924,1,7,,0,,924,,7
